sample,t,state,true,euler,rk4,solve_ivp
4,3,v,-1.3451465,-1.8595108,-1.8635004,-1.8557049
4,3,beta,-0.040558428,0.23262794,2.021121,1.975884
4,3,omega,-0.0029478772,-7.353773,-33.65774,-33.302013
4,4,dx,0.16313995,0.2999602,0.23871869,0.25023824
4,4,dy,0.028913163,0.051811457,0.06430902,0.067156024
4,4,psi,-3.018657,3.0841486,1.7102892,1.7015995
4,4,delta,-0.12035176,-0.09278032,-0.114084914,-0.09061306
4,4,v,-1.1786593,-1.8456205,-1.8634689,-1.8433572
4,4,beta,-0.038454026,0.72981286,9.644428,9.715665
4,4,omega,-0.0032128578,-18.171944,-128.63263,-129.81476
4,5,dx,0.15794891,0.3240255,0.24532938,0.24831182
4,5,dy,0.028326806,0.07097026,0.08680369,0.06848
4,5,psi,-3.0199428,2.7812827,-2.7237208,-2.8770766
4,5,delta,-0.12086152,-0.11683202,-0.12651679,-0.115093276
4,5,v,-1.0278609,-1.8594477,-1.8609718,-1.857625
4,5,beta,-0.038639106,2.064114,43.403835,44.938
4,5,omega,-0.0034525045,-43.544693,-484.71298,-499.67224
4,6,dx,0.15240547,0.31991562,0.2541569,0.25789762
4,6,dy,0.027704313,0.10168733,0.087713316,0.07207482
4,6,psi,-3.0211701,2.0555375,-0.6083529,-1.5933185
4,6,delta,-0.120972306,-0.11764408,-0.12702188,-0.116765246
4,6,v,-0.91510886,-1.8406264,-1.8524467,-1.8401723
4,6,beta,-0.03741384,5.5893493,190.32579,201.09656
4,6,omega,-0.003284752,-102.89906,-1832.444,-1919.571
4,7,dx,0.14660527,0.31354785,0.24939044,0.26248398
4,7,dy,0.027062016,0.071678385,0.06840276,0.06966528
4,7,psi,-3.0225306,0.34055305,-1.0237043,-0.24913305
4,7,delta,-0.13626193,-0.1178422,-0.13889864,-0.11719831
4,7,v,-0.83400303,-1.8423975,-1.8659723,-1.8421683
4,7,beta,-0.038145263,14.830111,815.03644,884.5179
4,7,omega,-0.0036668172,-243.04927,-6909.715,-7412.686
4,8,dx,0.1406128,0.33992773,0.24738134,0.26438943
4,8,dy,0.026422985,0.055962186,0.08396202,0.07270094
4,8,psi,-3.0243738,2.5729172,1.1352942,-3.0680327
4,8,delta,-0.119482,-0.14139761,-0.13777965,-0.14071484
4,8,v,-0.7722698,-1.8676776,-1.8861663,-1.8674593
4,8,beta,-0.046383128,38.70041,3388.2866,3786.6033
4,8,omega,-0.005053345,-572.2399,-25699.252,-28333.28
4,9,dx,0.13448761,0.36818784,0.24625652,0.2635067
4,9,dy,0.025771298,0.06901268,0.0857874,0.0784858
4,9,psi,-3.025895,-0.68123007,0.81646514,-2.6752322
4,9,delta,-0.108555205,-0.11560423,-0.116489686,-0.11507812
4,9,v,-0.72935194,-1.8827856,-1.9050956,-1.8826185
4,9,beta,-0.041295193,99.149185,13739.734,15768.4
4,9,omega,-0.004128993,-1335.5369,-94412.805,-106735.375
5,0,dx,0.17579527,0.17579527,0.17579527,0.17579527
5,0,dy,0.030372724,0.030372724,0.030372724,0.030372724
5,0,psi,-3.0155041,-3.0155041,-3.0155041,-3.0155041
5,0,delta,-0.09605342,-0.09605342,-0.09605342,-0.09605342
5,0,v,-1.6858286,-1.6858286,-1.6858286,-1.6858286
5,0,beta,-0.021157892,-0.021157892,-0.021157892,-0.021157892
5,0,omega,-0.0013326581,-0.0013326581,-0.0013326581,-0.0013326581
5,1,dx,0.17209539,0.20373788,0.20366575,0.20359707
5,1,dy,0.029938266,0.033315565,0.034293856,0.034331046
5,1,psi,-3.0163445,-3.0155263,-3.0286646,-3.02911
5,1,delta,-0.1112875,-0.10132194,-0.11042264,-0.10263863
5,1,v,-1.5109166,-1.6852564,-1.6972362,-1.6869897
5,1,beta,-0.0331205,0.017952388,0.090613835,0.09229407
5,1,omega,-0.002173476,-0.92202544,-2.134156,-2.1499968
5,2,dx,0.16787249,0.2315347,0.22947533,0.22925596
5,2,dy,0.029452357,0.03734674,0.0450454,0.045435257
5,2,psi,-3.0174546,-3.0308933,-3.1227489,-3.1257138
5,2,delta,-0.104739614,-0.12479187,-0.117133476,-0.12549868
5,2,v,-1.3451465,-1.7086438,-1.7019848,-1.7097217
5,2,beta,-0.040558428,0.13317032,0.72471005,0.74911714
5,2,omega,-0.0029478772,-3.2517238,-11.494367,-11.713635
5,3,dx,0.16313995,0.2591695,0.22919235,0.22505537
5,3,dy,0.028913163,0.04422288,0.06438979,0.06423643
5,3,psi,-3.018657,-3.0850887,2.719845,2.6987658
5,3,delta,-0.12035176,-0.11474362,-0.124135196,-0.11833454
5,3,v,-1.1786593,-1.6947535,-1.7019533,-1.6982574
5,3,beta,-0.038454026,0.46807158,3.9965236,4.219026
5,3,omega,-0.0032128578,-9.178028,-51.288094,-53.098423
5,4,dx,0.15794891,0.28361735,0.22971572,0.2258328
5,4,dy,0.028326806,0.05836971,0.066270195,0.060045656
5,4,psi,-3.0199428,3.0451295,0.81026196,0.67774063
5,4,delta,-0.12086152,-0.13879532,-0.13656707,-0.14219849
5,4,v,-1.0278609,-1.7085807,-1.6994562,-1.711666
5,4,beta,-0.038639106,1.3814149,20.256304,21.773325
5,4,omega,-0.0034525045,-23.74311,-219.91211,-231.00626
5,5,dx,0.15240547,0.29164678,0.23955713,0.22045521
5,5,dy,0.027704313,0.085690595,0.07928983,0.06532376
5,5,psi,-3.0211701,2.649411,-1.0782149,-1.7703797
5,5,delta,-0.120972306,-0.13960737,-0.13707216,-0.14298014
5,5,v,-0.91510886,-1.6897594,-1.6909311,-1.6933616
5,5,beta,-0.03741384,3.8596325,99.84285,108.65626
5,5,omega,-0.003284752,-59.62869,-941.50977,-998.71423
5,6,dx,0.14660527,0.26419938,0.24703397,0.2284658
5,6,dy,0.027062016,0.07938376,0.07871198,0.05880602
5,6,psi,-3.0225306,1.6555994,1.676161,-1.9680482
5,6,delta,-0.13626193,-0.1398055,-0.14894892,-0.14314707
5,6,v,-0.83400303,-1.6915305,-1.7044567,-1.6951444
5,6,beta,-0.038145263,10.556589,480.7013,533.8338
5,6,omega,-0.0036668172,-148.72012,-4013.8848,-4337.1104
5,7,dx,0.1406128,0.23775707,0.25093377,0.22847427
5,7,dy,0.026422985,0.08916146,0.08917259,0.056003127
5,7,psi,-3.0243738,-0.8230696,-1.3497775,-2.2184186
5,7,delta,-0.119482,-0.16336091,-0.14782993,-0.16656813
5,7,v,-0.7722698,-1.7168106,-1.7246507,-1.7202775
5,7,beta,-0.046383128,28.442291,2243.2295,2551.96
5,7,omega,-0.005053345,-368.70096,-16831.566,-18610.287
5,8,dx,0.13448761,0.260447,0.24077374,0.22982116
5,8,dy,0.025771298,0.07172871,0.09699443,0.065813005
5,8,psi,-3.025895,-0.6849003,1.04723,1.0828818
5,8,delta,-0.108555205,-0.13756754,-0.12653998,-0.14104004
5,8,v,-0.72935194,-1.7319186,-1.74358,-1.7354589
5,8,beta,-0.041295193,75.334404,10195.516,11846.748
5,8,omega,-0.004128993,-904.3342,-69553.875,-78492.77
5,9,dx,0.12826824,0.23930137,0.24349226,0.23131564
5,9,dy,0.02510593,0.09137733,0.10018061,0.06424266
5,9,psi,-3.0271137,3.0924184,0.11746335,2.9192488
5,9,delta,-0.0973252,-0.12078098,-0.10952013,-0.12424705
5,9,v,-0.69984585,-1.7546691,-1.741713,-1.7580304
5,9,beta,-0.03262221,197.18208,45422.273,53612.418
5,9,omega,-0.0032594178,-2204.1697,-284458.38,-325923.62
6,0,dx,0.17209539,0.17209539,0.17209539,0.17209539
6,0,dy,0.029938266,0.029938266,0.029938266,0.029938266
6,0,psi,-3.0163445,-3.0163445,-3.0163445,-3.0163445
6,0,delta,-0.1112875,-0.1112875,-0.1112875,-0.1112875
6,0,v,-1.5109166,-1.5109166,-1.5109166,-1.5109166
6,0,beta,-0.0331205,-0.0331205,-0.0331205,-0.0331205
6,0,omega,-0.002173476,-0.002173476,-0.002173476,-0.002173476
